iyear,imonth,iday,provstate,city,latitude,longitude,specificity,location,suicide,target1,gname,nkill,nwound,scite1
2003,7,4,Balochistan,Quetta,30.200819,66.994354,1,,1,"Shia worshipers and religious members at the Mosque in Quetta, Pakistan.",Lashkar-e-Jhangvi,53,53,"“Pakistan: Persons killed in Quetta attack buried; toll rises to 53,” The News, July 06, 2003."
2003,7,11,Sindh,Karachi,24.891115,67.143311,1,,0,"International Businesses in the 12-storey complex in Karachi, Pakistan",Unknown,2,4,"Mazhar Abbas, “AFP: More on bomb blast rocks Karachi, killing 2,” Agence France Presse, July 11, 2003."
2003,7,16,Sindh,Hyderabad,25.389288,68.357338,1,,0,"Hospital in Hyderabad, Pakistan",Unknown,0,7,"“Bomb explodes at hospital, 7 hurt,” The Record, July 17, 2003."
2003,7,28,Punjab,Shorkot,30.834238,72.075992,2,,1,"Civilians in a fodder shop in Mohalla Jogiyanwala, Pakistan",Unknown,1,5,"“One Killed, Five Injured in Suicide Bomb Attack,” Global News Wire, July 28, 2003."
2003,9,27,Sindh,Karachi,24.891115,67.143311,1,,0,Mini-bus traveling on Jinnah Road in central Karachi,Unknown,0,12,"""Twelve injured in Pakistan bomb explosion,"" Agence France-Presse, September 27, 2003."
2003,11,20,Balochistan,Quetta,30.200819,66.994354,1,,0,Quetta Railway Station,Unknown,0,0,"“2 Time Bombs Go Off Near Quetta Railway Station,” Pakistan Press International Information Service Limited, November 20, 2003."
2004,1,15,Sindh,Karachi,24.891115,67.143311,1,,0,Christian Bible Society office in Karachi,Unknown,0,15,"Mujahid Ali, ""Twin Blasts Target Anglican Church,"" Gulf News, January 16, 2004."
2004,2,16,Gilgit-Baltistan,Gilgit,35.918091,74.289803,1,,0,Shi'i Muslims in a Shi'i mosque in northern Pakistan,Unknown,0,5,"“ Five injured in fresh sectarian attack in Northern Pakistan,” World Markets Analysis, February 17, 2004."
2004,3,24,North-West Frontier Province,Peshawar,34.006004,71.53743,1,,0,"Indiscriminate civilians in Peshawar, Afghanistan.",Al-Qaida,0,2,"“Pakistani northern city Peshawar is hit by rocket attack,” AFX, March 24, 2004."
2004,4,10,Sindh,Karachi,24.891115,67.143311,1,,0,Unknown,Unknown,1,6,"""Car bomb kills one in Karachi,"" Islamabad The News, April 11, 2004."
2004,5,3,Balochistan,Gwadar,25.1458,62.326557,1,"The bombing took place near Gwadar, which is 300 miles west of Karachi near the border with Iran.",0,"China Engineering Harbour Company employees working for the company at Gwadar port, Pakistan",Unknown,3,11,"Abbas Mazhar, “Pakistani President Condemns Car Bomb Attack in Letter to China's Hu Jintao,” Hong Kong AFP, May 3, 2004."
2004,5,7,Sindh,Karachi,24.891115,67.143311,1,,1,"The Sindh Madrassah tul Islam School in Kashmir, Pakistan",Lashkar-e-Jhangvi,18,100,"“Policeman Named as Suicide Bomber in Pakistan Mosque Attack,” Hong Kong AFP, May 15, 2004."
2004,5,27,Sindh,Karachi,24.891115,67.143311,1,,0,"The Pakistan-American Cultural Centre (PACC) building in Karachi, Pakistan",Unknown,2,27,"“Car Bomb Near US Consul General's Residence Kills 2, Injures 27 Others,” Daily Times, May 27, 2004."
2004,5,31,Balochistan,Turbat,25.999413,63.047451,1,,0,"Indiscriminate civilians in Balochistan, Pakistan",Unknown,1,12,"“Rocket Attack in Minister's Residential Area Kills 1, Injures 12,” The News, May 31, 2004."
